Name,ID,State,Network,County,Elevation_ft,Latitude,Longitude,HUC,Date_of_Data,Date_Report_Created,Value_inches,Percent_NRCS_1981_2010_Average,Percent_NRCS_1981_2010_Median,Percent_of_POR_Average,Percent_of_POR_Median,Percent_of_Water_Year_Peak,Percent_of_Average_Water_Year_Peak_POR,Percent_of_Median_Water_Year_Peak_POR,POR_Median_Departure_inches,Percentile_POR,Maximum_Rank_POR,Minimum_Rank_POR,Records_POR,NRCS_1981_2010_Average_inches,NRCS_1981_2010_Median_inches,POR_Average_inches,POR_Median_inches,Minimum_POR_inches,Maximum_POR_inches,Year_of_Minimum_POR,Year_of_Maximum_POR,Number_of_Observations_POR
Sunset,"803	",Idaho,SNOTEL,Shoshone,5540,47.55545,-115.82422,"170103020102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,38,6,1,Lowest,,,1.89,1,0,12,"2016, 2018, 2020, more",2017,9
Surprise Lakes,"804	",Washington,SNOTEL,Skamania,4290,46.09497,-121.76345,"170800020107	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.71,0.5,0,8,"2016, 2018, 2019, more",2017,14
Susitna Valley High,"967	",Alaska,SNOTEL,Matanuska-Susitna,375,62.13333,-150.04167,"190205050105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-2,44,11,1,Lowest,,,2.84,2,0,18,"2017, 2018, 2020, more",2004,19
Suu Ranch,"1248	",Utah,SNOTEL,Iron,8050,37.59711,-112.92949,"160300060306	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,114,,100,2,2,1,71,3,6,,,,0.88,0,0,3,"2017, 2018, 2019, more","2013, 2014",8
Swamp Creek,"975	",Washington,SNOTEL,Skagit,3930,48.57142,-120.78267,"171100050503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.95,0,0,6,"2016, 2018, 2019, more","2001, 2004",21
Swan Lake Mtn,"1077	",Oregon,SNOTEL,Klamath,6830,42.41323,-121.68002,"180102040802	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,79,4,1,Lowest,,,1.07,0,0,8,"2018, 2019, 2020, more",2008,15
Swede Peak,"805	",Idaho,SNOTEL,Blaine,7640,43.626,-113.96887,"170402210301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,62,6,1,Lowest,,,1.21,0,0,5,"2018, 2019, 2020, more",2017,14
Swift Creek,"1012	",Washington,SNOTEL,Skamania,4440,46.1638,-122.18402,"170800020304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,39,12,1,Lowest,,,3.32,1,0,28,"2016, 2018, 2020, more",2005,19
Sylvan Lake,"806	",Wyoming,SNOTEL,Park,8420,44.47764,-110.15651,"100700010404	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,67,77,42,7,8,-1.5,41,11,7,,,,7.44,6.5,1,18,"2008, 2014",2017,18
Sylvan Road,"807	",Wyoming,SNOTEL,Park,7120,44.47825,-110.03808,"100800120103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.24,1,0,8,"2010, 2011, 2016, more",2013,17
TV Ridge AM,"1230	",Oregon,SNOLITE,Wallowa,7050,45.39608,-117.38919,"170601050203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",7
Tahoe City Cross,"809	",California,SNOTEL,Placer,6797,39.17162,-120.15362,"160501010101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,76,5,1,Lowest,,,1.56,0,0,11,"2018, 2019, 2020, more",2003,18
Takka Wiiya,"1247	",Utah,SNOTEL,Juab,9122,39.74104,-113.98262,"160203060804	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,57,4,1,Lowest,,,0.88,0,0,4,"2017, 2018, 2020, more",2013,8
Taos Powderhorn,"1168	",New Mexico,SNOTEL,Taos,11057,36.58203,-105.45611,"130201010701	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",13,,,170,186,59,18,18,6,70,4,8,,,,7.64,7,0,17,"2012, 2016, 2017",2018,11
Taylor Butte,"810	",Oregon,SNOTEL,Klamath,5030,42.69108,-121.42592,"180102020606	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,70,7,1,Lowest,,,0.62,0,0,4,"2018, 2019, 2020, more",2004,21
Taylor Canyon,"811	",Nevada,SNOTEL,Elko,6325,41.2287,-116.0293,"170501050105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,88,3,1,Lowest,,,0.59,0,0,9,"2018, 2019, 2020, more",2015,17
Taylor Green,"812	",Oregon,SNOTEL,Baker,5740,45.07707,-117.55067,"170601040502	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.71,0,0,7,"2015, 2016, 2018, more",2005,21
Telaquana Lake,"1266	",Alaska,SNOTEL,Bethel,1275,60.98243,-153.91772,"190304052303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,240,400,80,18,17,3,100,1,5,Highest,,,1.67,1,0,4,"2016, 2017, 2018","2015, 2020",6
Temple Fork,"1013	",Utah,SNOTEL,Cache,7406,41.793,-111.54605,"160102030303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,33,13,1,Lowest,,,3.21,2,0,14,"2015, 2016, 2020, more",2004,19
Tenquille Lake,"1D06P	",British Columbia,Cooperator Snow Sensors,"	",5476,50.53333,-122.91667,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",11,,,97,100,100,9,9,0,54,7,6,,,,11.29,11,0,35,"2002, 2003, 2019",2016,14
Tent Mtn Lower,"1202	",Nevada,SNOTEL,Elko,7100,40.97852,-115.17215,"160401010704	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.38,0,0,8,"2017, 2018, 2019, more",2015,8
Tent Mtn Upper,"1201	",Nevada,SNOLITE,Elko,8333,40.96535,-115.16458,"160401010704	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,31,100,50,2,2,0,50,5,5,,,,3.22,1,0,13,"2017, 2018, 2019, more",2015,9
Tepee Creek,"813	",Montana,SNOTEL,Madison,8000,44.78562,-111.71,"100200070602	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,20,25,50,2,2,-3,17,16,3,,,,5,4,0,17,"2014, 2016",2015,19
Teuchet Creek,"951	",Alaska,SNOTEL,Fairbanks North Star,1640,64.94583,-145.51667,"190803060301	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,107,114,80,17,17,0.5,55,6,7,,,,3.75,3.5,0,9,2013,2015,12
Thaynes Canyon,"814	",Utah,SNOTEL,Summit,9230,40.6235,-111.53322,"160201020101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,14,20,33,1,1,-4,22,19,6,,,,7.21,5,0,39,"2015, 2016, 2017, more",2004,24
Thistle Flat,"1226	",Utah,SNOTEL,Sanpete,8787,39.23803,-111.51998,"160300040501	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,63,4,1,Lowest,,,1.56,0,0,6,"2017, 2018, 2020, more",2013,9
Three Creeks Meadow,"815	",Oregon,SNOTEL,Deschutes,5690,44.14425,-121.64095,"170703010601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.64,0,0,5,"2017, 2018, 2019, more",2013,14
Thumb Divide,"816	",Wyoming,SNOTEL,Teton,7980,44.36917,-110.57717,"100700010409	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,81,100,25,5,5,0,63,7,9,,,,3.71,3,0,12,"2006, 2014, 2016",2017,17
Thunder Basin,"817	",Washington,SNOTEL,Skagit,4320,48.52753,-120.9895,"171100050702	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.85,0,0,3,"2016, 2018, 2019, more","2010, 2017",13
Tie Creek,"818	",Wyoming,SNOTEL,Sheridan,6870,44.81243,-107.41017,"100901010205	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,48,200,13,3,3,0.5,57,10,12,,,,2.09,0.5,0,11,"2014, 2015, 2016, more",2019,22
Timber Creek,"819	",Wyoming,SNOTEL,Park,7950,44.0274,-109.17879,"100800090210	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,53,9,1,Lowest,,,1.78,0,0,6,"2016, 2018, 2020, more","2003, 2013",18
Timberline,"1097	",Utah,SNOTEL,Carbon,8736,39.67712,-110.43395,"140600070903	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.08,0,0,8,"2016, 2017, 2018, more",2013,13
Timpanogos Divide,"820	",Utah,SNOTEL,Utah,8140,40.42817,-111.61633,"160202010802	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,57,11,1,Lowest,,,2.63,0,0,22,"2016, 2018, 2020, more",2004,24
Tinkham Creek,"899	",Washington,SNOTEL,King,2990,47.33198,-121.46975,"171100120101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.93,0,0,5,"2016, 2018, 2019, more",2005,15
Tipton,"821	",Oregon,SNOTEL,Baker,5150,44.65567,-118.42617,"170502020101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.19,0,0,2,"2016, 2018, 2019, more",1998,21
Tizer Basin,"893	",Montana,SNOTEL,Jefferson,6880,46.34937,-111.85308,"100301010701	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,53,50,13,5,5,-2,40,13,8,,,,3.81,4,0,11,"2012, 2014, 2016, more",2009,21
Toe Jam,"1136	",Nevada,SNOTEL,Elko,7690,41.3187,-116.3408,"160401060202	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-0.5,45,7,1,Lowest,,,2.83,0.5,0,18,"2018, 2019, 2020, more",2015,12
Togwotee Pass,"822	",Wyoming,SNOTEL,Teton,9580,43.74902,-110.0578,"100800010201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",12,,,91,89,63,14,15,-1.5,43,13,10,,,,13.23,13.5,1,35,1999,2017,22
Tok,"2080	",Alaska,SCAN,Southeast Fairbanks,1630,63.3532,-142.98164,"190803020903	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.38,2,0,9,2006,2014,8
Toketee Airstrip,"1044	",Oregon,SNOTEL,Douglas,3240,43.22718,-122.42537,"171003010404	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0,0,0,0,"2017, 2018, 2019, more","2017, 2018, 2019, more",16
Tokositna Valley,"1089	",Alaska,SNOTEL,Matanuska-Susitna,850,62.63,-150.77617,"190205020903	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,45,86,75,5,5,-0.5,46,8,6,,,,6.71,3.5,0,20,"2014, 2018",2010,14
Tolby,"934	",New Mexico,SNOTEL,Colfax,10180,36.47493,-105.19468,"110800020107	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.5,0,0,7,"2015, 2016, 2017, more","1998, 2009, 2018",22
Tony Grove Lake,"823	",Utah,SNOTEL,Cache,8474,41.89833,-111.62957,"160102030304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,6.17,4,0,30,"1999, 2007, 2016",2004,23
Tony Grove RS,"1113	",Utah,SNOTEL,Cache,6332,41.88573,-111.56918,"160102030304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.45,0,0,1,"2014, 2016, 2018, more","2015, 2017, 2019, more",11
Touchet,"824	",Washington,SNOTEL,Columbia,5530,46.11868,-117.8505,"170701020303	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,244,500,100,6,5,4,84,4,17,,,,2.05,1,0,7,"2014, 2016, 2018, more",2004,20
Tower,"825	",Colorado,SNOTEL,Routt,10500,40.53743,-106.6768,"140500010407	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,31,36,50,3,3,-7,27,12,4,,,,12.88,11,0,34,2016,2013,16
Townsend Creek,"826	",Wyoming,SNOTEL,Fremont,8700,42.69525,-108.89572,"100800030203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2.5,35,12,1,Lowest,,,4.5,2.5,0,16,"2015, 2016, 2020, more",2009,18
Trapper Lake,"827	",Colorado,SNOTEL,Garfield,9700,39.99884,-107.2362,"140500050101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,14,100,17,3,4,0,50,9,7,,,,14.71,2,0,194,"2015, 2016, 2017, more",2003,17
Tres Ritos,"1083	",New Mexico,SNOTEL,Taos,8600,36.12778,-105.52714,"130201010903	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,0,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020, more","2018, 2019, 2020, more",15
Trial Lake,"828	",Utah,SNOTEL,Summit,9992,40.678,-110.94873,"160202030102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-5,4,24,1,Lowest,,,7.52,5,0,35,"1997, 2020",2004,25
Trinchera,"829	",Colorado,SNOTEL,Costilla,10860,37.35328,-105.23233,"130100020601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",9,,,241,450,47,13,20,7,93,2,13,2nd Highest,,,3.73,2,0,15,"2015, 2016, 2017, more",2013,15
Trinity,"1171	",Washington,SNOTEL,Chelan,2930,48.0747,-120.8493,"170200110302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.2,0,0,1,"2016, 2018, 2019, more","2011, 2017",10
Trinity Mtn.,"830	",Idaho,SNOTEL,Elmore,7770,43.62903,-115.43818,"170501110703	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,12,14,50,1,1,-6,5,20,1,Lowest,,,8.67,7,1,20,"2018, 2020",2004,21
Triple Peak,"831	",Wyoming,SNOTEL,Sublette,8500,42.76393,-110.5914,"140401010503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,34,33,67,2,2,-4,33,11,2,2nd Lowest,,,5.94,6,1,13,2011,2019,16
Trough,"832	",Washington,SNOTEL,Kittitas,5480,47.23328,-120.29412,"170200100402	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.47,0,0,13,"2016, 2018, 2019, more",2005,19
Trough Springs,"2142	",Nevada,SCAN,Clark,7846,36.37355,-115.78127,"160600150101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,92,2,1,Lowest,,,6.86,0,0,96,"2017, 2019, 2020, more",2018,14
Trout Creek,"833	",Utah,SNOTEL,Uintah,9518,40.739,-109.6728,"140600100802	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1,28,14,1,Lowest,,,3.79,1,0,25,"2016, 2017, 2020, more",2004,19
Trout Creek AM,"1238	",Oregon,SNOLITE,Harney,7890,42.03597,-118.24008,"171200090201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.43,0,0,19,"2017, 2018, 2019, more",2014,7
Trout Creek Upper,"1200	",Nevada,SNOLITE,Elko,8280,41.0457,-115.0965,"160401010702	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,50,5,1,Lowest,,,2.11,0,0,6,"2018, 2019, 2020, more","2015, 2017",9
Truckee #2,"834	",California,SNOTEL,Placer,6509,39.30087,-120.18407,"160501020204	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,56,9,1,Lowest,,,2.26,0,0,11,"2018, 2019, 2020, more",2004,19
Tsai Creek,"4B17P	",British Columbia,Cooperator Snow Sensors,"	",4491,54.63333,-127.66667,"	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",7,,,37,39,29,6,7,-11,19,14,3,,,,18.71,18,1,57,2013,2001,17
Turnagain Pass,"954	",Alaska,SNOTEL,Kenai Peninsula,1880,60.78043,-149.18325,"190203020406	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,32,42,67,4,4,-5.5,20,13,4,,,,12.44,9.5,0,33,2013,2011,16
Twelvemile Creek,"835	",Montana,SNOTEL,Ravalli,5600,46.14287,-114.44755,"170102050601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,71,,8,2,2,1,58,9,12,,,,1.4,0,0,6,"2015, 2016, 2018, more",2017,20
Twin Lakes,"836	",Montana,SNOTEL,Ravalli,6400,46.1438,-114.5056,"170102050601	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,83,100,31,5,4,0,57,10,11,,,,6.05,5,0,18,"2007, 2008, 2012",2004,22
Two Ocean Plateau,"837	",Wyoming,SNOTEL,Teton,9240,44.15178,-110.22122,"170401010201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",12,,,71,86,75,12,12,-2,23,11,4,,,,16.79,14,5,41,2014,2017,14
University Camp,"838	",Colorado,SNOTEL,Boulder,10300,40.03279,-105.57615,"101900050401	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,41,50,33,3,4,-3,31,12,5,,,,7.29,6,0,18,"2014, 2016",2018,17
Upper Chena,"952	",Alaska,SNOTEL,Fairbanks North Star,2850,65.1,-144.93317,"190803060102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",7,,,75,88,78,17,16,-1,41,11,5,,,,9.28,8,2,22,2010,2017,18
Upper Joes Valley,"1227	",Utah,SNOTEL,Emery,8596,39.4155,-111.2491,"140600090201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,63,4,1,Lowest,,,0.89,0,0,6,"2017, 2018, 2020, more",2013,9
Upper Nome Creek,"1090	",Alaska,SNOTEL,Yukon-Koyukuk,2520,65.3671,-146.592,"190804020304	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,7.23,6,1,19,2016,2017,13
Upper Rio Grande,"839	",Colorado,SNOTEL,Hinsdale,9400,37.72194,-107.26015,"130100010106	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,0,0,0,0,63,7,1,Lowest,,,0.65,0,0,3,"2017, 2018, 2020, more","2013, 2019",17
Upper San Juan,"840	",Colorado,SNOTEL,Mineral,10200,37.48576,-106.83535,"140801010203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,113,167,31,4,5,2,71,6,11,,,,4.44,3,0,15,"2015, 2016, 2017, more",2003,18
Upper Taylor,"1141	",Colorado,SNOTEL,Gunnison,10640,38.99077,-106.75422,"140200010101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.18,2,0,6,"2012, 2016",2010,11
Upper Tsaina River,"1055	",Alaska,SNOTEL,Valdez-Cordova,1750,61.19112,-145.64807,"190201040203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,51,73,100,6,6,-1.5,40,10,6,,,,7.81,5.5,0,24,"2009, 2013, 2017",2010,16
Upper Wheeler,"841	",Washington,SNOTEL,Chelan,4330,47.28734,-120.37015,"170200100310	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.33,0,0,9,"2017, 2018, 2019, more",2003,18
Usu Doc Daniel,"1098	",Utah,SNOTEL,Rich,8270,41.86425,-111.50603,"160102010103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",1,,,15,17,50,1,1,-5,8,13,2,2nd Lowest,,,6.71,6,0,13,2014,"2009, 2019",14
Ute Creek,"1005	",Colorado,SNOTEL,Costilla,10650,37.61497,-105.37327,"130100020604	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",7,,,73,233,44,9,13,4,79,5,14,,,,9.65,3,0,118,"2008, 2012, 2016, more",2000,20
V Lake AM,"1237	",Oregon,SNOLITE,Harney,6640,42.46573,-118.76583,"171200080901	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.71,0,0,5,"2016, 2018, 2019, more",2017,7
Vacarro Springs,"1137	",Nevada,SNOTEL,Eureka,7890,39.4495,-115.9834,"160600051503	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,67,4,1,Lowest,,,1.1,0,0,5,"2018, 2019, 2020, more",2015,10
Vacas Locas,"1017	",New Mexico,SNOTEL,Rio Arriba,9306,36.02635,-106.81362,"130202020102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,"1,000",,29,10,11,5,100,1,18,Highest,,,0.5,0,0,5,"2016, 2017, 2019, more",2020,18
Vail Mountain,"842	",Colorado,SNOTEL,Eagle,10300,39.61676,-106.38006,"140100030102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,39,33,29,2,3,-4,36,10,4,,,,5.13,6,0,12,"2012, 2016",2019,15
Vallecito,"843	",Colorado,SNOTEL,La Plata,10880,37.4851,-107.5068,"140801011105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-0.5,47,11,1,Lowest,,,2.7,0.5,0,16,"2017, 2019, 2020, more",2000,20
Van Wyck,"979	",Idaho,SNOTEL,Washington,4920,44.37665,-116.3366,"170501240902	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,84,4,1,Lowest,,,0.5,0,0,6,"2018, 2019, 2020, more",2005,20
Vaught Ranch AM,"1294	",Idaho,SNOLITE,Owyhee,5840,42.49491,-116.43665,"170501040904	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,,,,0,0,0,100,1,1,,,,0,0,0,0,"2018, 2019, 2020","2018, 2019, 2020",3
Vernon Creek,"844	",Utah,SNOTEL,Tooele,7401,39.93667,-112.41478,"160203040102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.85,0,0,14,"2016, 2017, 2018, more",2000,20
Vienna Mine,"845	",Idaho,SNOTEL,Blaine,8960,43.79942,-114.85273,"170602010201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-8.5,0,22,1,Lowest,,,9.77,8.5,0,21,2020,2015,22
Virginia Lakes Ridge,"846	",California,SNOTEL,Mono,9400,38.07298,-119.23433,"160503010103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,68,7,1,Lowest,,,2.2,0,0,25,"2018, 2019, 2020, more",2004,20
Wager Gulch,"1188	",Colorado,SNOTEL,Hinsdale,11100,37.88248,-107.3643,"140200020602	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-2,33,7,1,Lowest,,,2.3,2,0,7,"2012, 2016, 2020, more",2014,10
Waldron,"847	",Montana,SNOTEL,Teton,5600,47.91998,-112.79087,"100302050102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",5,,,226,,38,11,11,5,83,4,14,,,,2.21,0,0,7,"2014, 2016, 2018, more","2003, 2017, 2019",19
Ward Creek #3,"848	",California,SNOTEL,Placer,6745,39.13545,-120.21865,"160501010403	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,,0,0,-1.5,41,11,1,Lowest,,,4.83,1.5,0,24,"2018, 2019, 2020, more",2003,18
Ward Mountain,"849	",Nevada,SNOTEL,White Pine,9163,39.13242,-114.95575,"150100110105	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,59,10,1,Lowest,,,3.04,0,0,21,"2018, 2019, 2020, more",2004,23
Warm Springs,"850	",Montana,SNOTEL,Granite,7800,46.27368,-113.164,"170102010302	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",18,,,157,171,75,22,23,7.5,94,2,16,2nd Highest,,,11.44,10.5,0,26,2016,2017,18
Waterhole,"974	",Washington,SNOTEL,Clallam,5010,47.94485,-123.42594,"171100200506	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.38,1,0,16,"2016, 2018, 2019, more",2005,21
Webber Springs,"852	",Wyoming,SNOTEL,Carbon,9250,41.15946,-106.92714,"101800020406	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,43,67,38,3,4,-1.5,35,12,5,,,,7.06,4.5,0,20,"2005, 2016, 2017",2004,18
Webster Flat,"853	",Utah,SNOTEL,Iron,9203,37.575,-112.90155,"150100080101	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,1.88,0,0,21,"2017, 2018, 2019, more",2004,17
Wells Creek,"909	",Washington,SNOTEL,Whatcom,4030,48.8661,-121.78976,"171100040103	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,3.41,0,0,16,"2016, 2018, 2019, more","1996, 2005",22
Weminuche Creek,"1160	",Colorado,SNOTEL,Archuleta,10740,37.51976,-107.32152,"140801020203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,2.5,1,0,9,"2010, 2012, 2016",2018,10
Wesner Springs,"854	",New Mexico,SNOTEL,San Miguel,11120,35.77556,-105.5425,"130600010802	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",3,,,109,300,33,6,6,2,69,6,12,,,,2.76,1,0,13,"2012, 2016, 2017, more",2002,17
West Branch,"855	",Idaho,SNOTEL,Adams,5560,45.0722,-116.45413,"170501240201	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,,,0,0,0,67,3,1,Lowest,,,1.29,0,0,6,"2016, 2018, 2020, more",2017,7
West Eagle Meadows AM,"1288	",Oregon,SNOLITE,Union,5490,45.08467,-117.48167,"170502031002	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",,,,,,,,,,,,,,,,0.33,0,0,1,"2017, 2018",2019,3
West Yellowstone,"924	",Montana,SNOTEL,Gallatin,6700,44.65866,-111.09199,"100200070205	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",2,,,95,200,100,5,4,1,65,7,11,,,,2.11,1,0,8,"2012, 2014, 2016, more",2013,18
Wheeler Peak,"1147	",Nevada,SNOTEL,White Pine,10060,39.00995,-114.31021,"160203010801	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",0,,,0,0,0,0,0,-1,40,7,1,Lowest,,,2.82,1,0,12,"2017, 2019, 2020, more",2015,11
Whiskey Ck,"857	",Colorado,SNOTEL,Las Animas,10220,37.21411,-105.12245,"110200100102	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",7,,,267,700,35,14,18,6,87,4,21,,,,2.63,1,0,12,"2005, 2010, 2016, more",1998,24
Whiskey Creek,"858	",Montana,SNOTEL,Gallatin,6800,44.61088,-111.14998,"100200070203	","November 3, 2020, end of day ","11-04-2020, 01:43 PM MST",4,,,117,200,80,7,7,2,67,7,12,,,,3.42,2,0,10,"2009, 2010, 2016",2004,19
